year,species,bb_doy,l75_doy,fbb_doy,fopn_doy,sd_bb_doy,sd_l75_doy,sd_fbb_doy,sd_fopn_doy
2000,COAL,122,143,162,162,2.720851745,3.201612485,NA,NA
2001,COAL,130,141,153,160,2.733328057,4.724769015,NA,NA
2002,COAL,107,NA,NA,NA,4.953378437,5.559509927,4.596194078,4.596330196
2003,COAL,121,NA,160,161,2.799972297,4.815276905,NA,NA
2004,COAL,116,NA,NA,NA,0.987419869,3.009665082,3.75277675,3.587383571
2005,COAL,114,NA,NA,NA,0.067610941,0.833336682,10.96015511,NA
2006,COAL,113,NA,NA,NA,1.595099829,1.528645336,0,0.314303465
2007,COAL,123,NA,NA,NA,4.027882782,6.632250194,NA,NA
2008,COAL,116,NA,NA,NA,0.453714769,1.408216092,NA,NA
2009,COAL,116,NA,NA,NA,0,0.117733868,4.596194078,3.771422372
2010,COAL,99,NA,NA,NA,0,0.944880828,NA,NA
2011,COAL,120,NA,NA,NA,1.860348798,3.396179255,NA,NA
2012,COAL,109,NA,NA,NA,2.120533706,2.532086583,0,5.30E-05
2013,COAL,121,NA,NA,NA,1.234192238,1.80035455,3.181980515,3.692749278
2014,COAL,127,NA,NA,NA,2.672254005,1.625361074,5.484827557,2.81298027
2015,COAL,119,NA,NA,NA,0,1.07922127,2.886751346,1.074193119
2016,COAL,116,NA,NA,NA,2.394917833,3.131430435,NA,NA
2017,COAL,117,NA,NA,NA,2.412426803,2.30173555,7.075485849,3.01084887
2018,COAL,124,NA,NA,NA,0.104283431,4.163499735,0,0.26270916
2019,COAL,120,NA,NA,NA,5.327485832,4.937960225,NA,NA
2020,COAL,129,NA,NA,NA,3.237076014,3.023901473,NA,NA
2021,COAL,122,NA,NA,NA,4.093229995,5.563511769,2.738612788,5.376246089
2022,COAL,124,NA,NA,NA,2.793952003,0.779122533,NA,NA
1990,CRSP,123,155,NA,NA,2.50839734,2.457057855,0,3.441325598
1991,CRSP,118,145,NA,NA,3.031647094,4.855369454,NA,NA
1992,CRSP,130,166,NA,NA,2.752846584,1.394424736,NA,NA
1993,CRSP,115,138,NA,NA,1.615629675,1.970796563,NA,NA
1994,CRSP,120,145,NA,NA,2.532009322,0.512637316,NA,NA
1995,CRSP,124,145,NA,NA,1.979772298,1.699993207,2.474873734,NA
1996,CRSP,118,148,NA,NA,0.418954621,0.774677948,NA,NA
1997,CRSP,127,151,NA,NA,0.194509003,1.699191846,18.03122292,18.03148632
1998,CRSP,112,135,NA,NA,2.757908481,2.807456241,NA,NA
1999,CRSP,123,140,NA,NA,3.948428037,2.171962268,NA,NA
2000,CRSP,125,144,NA,NA,2.559422351,2.984747249,3.175426481,3.175453905
2001,CRSP,123,138,NA,NA,2.590042725,0.582780276,NA,NA
2002,CRSP,118,NA,NA,NA,2.318191611,4.703060389,18.7383297,4.221363738
2003,CRSP,129,NA,144,145,4.959884599,2.847565496,NA,NA
2004,CRSP,123,NA,NA,NA,0.558829134,0.077604924,3.464101615,6.286798987
2005,CRSP,123,NA,NA,NA,1.635650151,0.946521821,NA,NA
2006,CRSP,123,NA,NA,NA,1.086766279,1.294253728,3.535533906,1.060615977
2007,CRSP,127,NA,NA,NA,2.919053555,2.779883022,9.192388155,0.196477673
2008,CRSP,125,NA,NA,NA,0.037852689,2.0000125,NA,NA
2009,CRSP,118,NA,NA,NA,0.14457224,1.67113856,4.242640687,3.720004845
2010,CRSP,107,NA,NA,NA,1.72716956,2.118461261,NA,NA
2011,CRSP,125,NA,NA,NA,2.788341084,0.207243802,NA,NA
2012,CRSP,112,NA,NA,NA,1.845452929,4.720826687,2.309401077,5.786654679
2013,CRSP,123,NA,NA,NA,1.035639607,0.783400175,5.303300859,1.948343482
2014,CRSP,130,NA,NA,NA,3.031243252,1.527506695,6.639528096,2.16316387
2015,CRSP,127,NA,NA,NA,1.851386075,3.07679025,9.237604307,1.488168715
2016,CRSP,127,NA,NA,NA,2.575740316,0.903328219,NA,NA
2017,CRSP,119,NA,NA,NA,0.705044356,1.482202851,2,2.298753503
2018,CRSP,126,NA,NA,NA,2.417029568,2.708477177,NA,NA
2019,CRSP,125,NA,NA,NA,0.240545532,3.947281206,NA,NA
2020,CRSP,130,NA,NA,NA,1.49182422,5.613388536,1.732050808,2.836507852
2021,CRSP,118,NA,NA,NA,1.679368062,4.621670032,0,3.633154071
2022,CRSP,128,NA,NA,NA,1.945623486,4.500635775,NA,NA
1990,FAGR,130,142,NA,NA,2.325239017,1.943066987,7.071067812,6.71745962
1991,FAGR,124,137,NA,NA,2.668819453,0.563554555,NA,NA
1992,FAGR,134,150,NA,NA,1.266698209,3.055161211,1.732050808,1.731972865
1993,FAGR,123,146,NA,NA,2.96790635,6.309298186,0,0.117680834
1994,FAGR,129,142,NA,NA,1.582367202,1.17775844,0,0.314063047
1995,FAGR,131,142,NA,NA,0.115423691,6.791920974,1.732050808,1.508191219
1996,FAGR,131,143,NA,NA,0.567520553,2.131775492,NA,NA
1997,FAGR,134,147,NA,NA,3.535251062,2.556309862,NA,NA
1998,FAGR,122,137,178,179,4.475208767,2.611768775,NA,NA
1999,FAGR,125,137,NA,NA,1.104120338,6.3043751,NA,NA
2000,FAGR,128,143,NA,NA,2.164105525,0.292030911,NA,NA
2001,FAGR,122,137,NA,NA,1.271716645,3.93050158,NA,NA
2002,FAGR,125,NA,NA,NA,1.242434731,7.566887458,NA,NA
2003,FAGR,133,NA,NA,NA,0.629550245,2.986858485,3.889087297,1.23731931
2004,FAGR,127,NA,NA,NA,5.547890372,0.710357071,5.0083264,1.891734342
2005,FAGR,131,NA,NA,NA,0.172980464,2.351621667,3.75277675,4.259814274
2006,FAGR,130,149,NA,NA,1.376116941,2.30939819,4.536885863,3.883792286
2007,FAGR,129,142,NA,NA,3.036461978,5.965819028,0,0
2008,FAGR,127,146,NA,NA,0.73921468,NA,NA,NA
2009,FAGR,123,142,NA,NA,1.829435811,2.699977,0,0
2010,FAGR,118,134,NA,NA,1.923600734,0.494979294,NA,NA
2011,FAGR,127,143,122,124,1.029524838,0.412533264,NA,NA
2012,FAGR,122,140,NA,NA,1.050816186,7.589902762,1.732050808,0.150039651
2013,FAGR,125,142,120,121,0.864021944,0.292030911,0,7.778072062
2014,FAGR,134,148,NA,NA,3.59304472,4.288767438,4.769696007,4.825938368
2015,FAGR,128,144,NA,NA,2.732763161,1.64436832,2.020725942,0.452102916
2016,FAGR,132,148,114,118,1.514606368,2.086082213,NA,NA
2017,FAGR,124,144,118,118,2.000191946,4.757035669,1.5,2.166544491
2018,FAGR,128,144,NA,NA,1.556504227,3.222471088,4.907477288,0.096085999
2019,FAGR,131,146,119,121,0.254593255,1.415495224,NA,NA
2020,FAGR,135,152,NA,NA,1.875983788,2.224962051,NA,NA
2021,FAGR,129,144,120,121,1.263769236,3.179805836,0,1.433770236
2022,FAGR,131,143,NA,NA,0.236362172,2.348853318,NA,NA
1990,FRAM,125,160,NA,NA,1.746659331,1.194978376,2.020725942,2.390894487
1991,FRAM,126,144,NA,NA,0.794935689,2.309519434,NA,NA
1992,FRAM,136,172,136,140,0.969681129,4.165093485,NA,NA
