year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
1997,CRSP,278,286,9.090617973,9.062632125
1998,CRSP,276,280,1.49276705,2.08208923
1999,CRSP,281,289,4.615887916,4.416281146
2000,CRSP,261,275,3.722468923,1.236218666
2001,CRSP,281,276,15.22512529,15.78951262
1991,FAGR,288,299,11.76901797,8.988221839
1992,FAGR,NA,301,3.921813815,1.919116544
1993,FAGR,289,303,4.78258739,3.048330787
1994,FAGR,284,297,8.231796479,4.891390575
1995,FAGR,287,298,2.26848201,0.365971044
1996,FAGR,290,299,18.95025766,29.88237034
1997,FAGR,286,294,4.914059761,5.296133316
1998,FAGR,282,291,6.195434852,7.568560815
1999,FAGR,281,295,1.837531318,1.954389419
2000,FAGR,277,294,12.94550698,19.68115701
2001,FAGR,284,298,1.581862994,1.862507749
2002,FAGR,298,309,9.866531793,8.753379405
2003,FAGR,285,298,1.487378341,2.734907585
2004,FAGR,297,311,5.221361449,6.335410611
2005,FAGR,303,313,2.052527421,3.750394095
2006,FAGR,290,309,8.965202349,14.29335158
2007,FAGR,295,314,1.184520517,3.480893246
2008,FAGR,292,308,3.261634116,5.719901555
2009,FAGR,295,308,3.479651855,2.63438424
2010,FAGR,295,310,3.125660401,3.324385953
2011,FAGR,297,317,5.540051094,5.085090224
2012,FAGR,294,303,4.295839112,2.738096784
2013,FAGR,292,305,7.418676137,7.953296207
2014,FAGR,296,307,1.322848864,1.800031742
2015,FAGR,302,310,1.041914338,5.571444541
2016,FAGR,302,317,1.624807595,2.188324428
2017,FAGR,299,308,2.779888653,2.886632989
2018,FAGR,302,313,2.601140061,2.251425669
2019,FAGR,294,302,5.826609892,7.443462296
2020,FAGR,291,301,1.186022607,1.433109345
2021,FAGR,289,308,3.3908556,5.480136775
2022,FAGR,288,298,20.18310582,21.70494549
1991,FRAM,273,284,17.25397294,12.42771765
1992,FRAM,277,293,8.671730558,7.516336655
1993,FRAM,271,288,4.766031444,2.309432831
1994,FRAM,268,280,3.339103899,2.219058316
1995,FRAM,272,282,2.86301974,7.931462566
